ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.134.238.25","elite","AS132203","SG","Aceville Pte.ltd","246","N/A","443","socks4","63","1","2023-02-06T05:09:16.370Z","83","789","949"
"177.240.27.141","anonymous","AS262916","MX","Mega Cable, S.A. de C.V.","142","Mega Cable, S.A. de C.V","999","http","82","331","2023-02-06T05:09:16.158Z","97","847","871"
"1.10.133.134","elite","AS23969","TH","TOT Public Company Limited","156","Shared Dynamic IP Address for Residential Broadband Services","4145","socks4","984","1","2023-02-06T05:09:16.396Z","51","467","919"
"204.83.205.117","anonymous","AS803","CA","Saskatchewan Telecommunications","119","Saskatchewan Telecommunications","3128","http","56","464","2023-02-06T05:09:16.160Z","100","875","875"
"92.247.23.114","elite","AS8717","BG","Mobiltel EAD","37","Mobiltel EAD","53281","http","885","818","2023-02-06T05:09:16.398Z","100","991","991"
"111.68.31.130","elite","AS55666","ID","PT Media Sarana Data","180","Gmedia ID Yogyakarta","3128","socks5","251","1","2023-02-06T05:09:16.801Z","100","917","918"
"186.192.195.211","elite","AS53133","BR","P & K Networks e Telecomunicações Ltda","191","P & K Networks e Telecomunicações Ltda","8080","socks4","481","1","2023-02-06T05:09:16.777Z","100","969","973"
"188.241.45.142","elite","AS199335","GB","Talk Straight Ltd.","18","N/A","2021","socks5","166","1","2023-02-06T05:09:16.530Z","100","987","990"
"185.204.197.25","elite","AS60631","IR","Pars Parva System LLC","95","Pars Parva System LLC","8080","socks4","916","1","2023-02-06T05:09:16.393Z","97","852","880"
"84.242.183.146","elite","AS8717","BG","Orbitel customer and internal","40","Mobiltel EAD","4153","socks4","276","1","2023-02-06T05:09:16.683Z","100","986","986"
"143.202.226.31","elite","AS262346","BR","FP Telecomunicacoes Ltda","229","FP Telecomunicacoes Ltda","4145","socks4","848","1","2023-02-06T05:09:16.682Z","82","811","991"
"110.77.184.196","elite","AS131090","TH","CAT-BB","176","N/A","5678","socks4","73","1","2023-02-06T05:09:16.569Z","82","798","974"
"177.125.161.223","elite","AS262346","BR","FP Telecomunicacoes Ltda","230","FP Telecomunicacoes Ltda","4145","socks4","939","1","2023-02-06T05:09:16.542Z","72","675","934"
